IoUs for image 143: {1: 0.519811320754717, 2: 0.0, 3: 0.0}
IoUs for image 144: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 145: {1: 0.0, 2: 0.06235816477553034, 3: 0.0}
IoUs for image 146: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 147: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 148: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 149: {1: 0.0, 2: 0.7745442916533418, 3: 0.6775661074779642}
IoUs for image 150: {1: 0.11184865582475938, 2: 0.806568516421291, 3: 0.8578391551584078}
IoUs for image 151: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 152: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 153: {1: 0.042269187986651836, 2: 0.8460481099656357, 3: 0.6510303687635575}
IoUs for image 154: {1: 0.0, 2: 0.7601040763226365, 3: 0.0}
IoUs for image 155: {1: 0.0, 2: 0.0, 3: 0.47503617945007237}
IoUs for image 156: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 157: {1: 0.0, 2: 0.7008836918682496, 3: 0.0}
IoUs for image 158: {1: 0.0, 2: 0.0, 3: 0.5242098184263618}
IoUs for image 159: {1: 0.15137307434695244, 2: 0.0, 3: 0.0}
IoUs for image 160: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 161: {1: 0.0, 2: 0.8738723547761571, 3: 0.40468909276248727}
IoUs for image 162: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 163: {1: 0.053242594075260205, 2: 0.0, 3: 0.0}
IoUs for image 164: {1: 0.0, 2: 0.4559852888836161, 3: 0.0}
IoUs for image 165: {1: 0.0, 2: 0.0, 3: 0.6820833333333334}
IoUs for image 166: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 167: {1: 0.0, 2: 0.0, 3: 0.0}
IoUs for image 168: {1: 0.0, 2: 0.0, 3: 0.6744222118814953}
IoUs for image 169: {1: 0.09245562130177515, 2: 0.0, 3: 0.8238453276047261}
IoUs for image 170: {1: 0.0, 2: 0.0, 3: 0.5834114339268979}
IoUs for image 171: {1: 0.0, 2: 0.0, 3: 0.6233538191395961}
IoUs for image 172: {1: 0.0, 2: 0.0, 3: 0.0}
